Index,Name,Rating
241,Detective Conan: Black Iron Submarine,8.8
242,Nhất Thế Chi Tôn,5.5
243,Baki Hanma VS Kengan Ashura,8.9
244,Đại Chúa Tể,8.5
245,Suki demo Kirai na Amanojaku My Oni Girl,9.3
246,Seishun Buta Yarou wa Odekake Sister no Yume wo Minai,9.7
247,Garouden: The Way of the Lone Wolf,6.9
248,Yami Shibai 12,3.4
249,Blood of Zeus (Season 2),NaN
250,Thua Lỗ Thành Thủ Phủ Từ Trò Chơi,6.6
251, T・P BON,NaN
252,Bách Yêu Phổ Phần 4,7.2
253,Bộ Tinh Ti: Nguyên Khởi,5.6
254,Ninja Kamui,8.9
255,Kurayukaba,NaN
256,Shaman King: Flowers,4.8
257,Dragon Raja - Bình Minh Rực Lửa,7.9
258,Ma Nữ Vô Tri,5.2
259,Thiếu Niên Ca Hành,8.7
260,Thời Đại Vũ Trụ Lớn,5.4
261,The iDOLM@STER Shiny Colors,5.9
262,Hibike! Euphonium 3,7.7
263,Momochi-San Chi No Ayakashi Ouji,4.9
264,Majo to Yajuu,8.1
265,Metallic Rouge,6.5
266,Gekai Elise,7.5
267,Kingdom 5th Season,7.8
268,Dog Signal,3.2
269,Nanatsu no Taizai: Mokushiroku no Yonkishi,5.6
270,Shigatsu wa Kimi no Uso,9.6
271,Shigatsu wa Kimi no Uso OVA,8.4
272,Shigatsu Wa Kimi No Uso Finale Event,6.5
273,Tháng Tư Là Lời Nói Dối Của Em (Live Action),6.4
274,Shangri-La Frontier,9.3
275,Boku no Kokoro no Yabai Yatsu Season 2,9.1
276,Mashle 2nd Season,9.2
277,Ragna Crimson,9.1
278,Solo Leveling ,9.3
279,Tensei shitara Slime Datta Ken 2nd Season Part 2,9.6
280,Jaku-Chara Tomozaki-kun 2nd Stage,8.0
281,Saijaku Tamer wa Gomi Hiroi no Tabi wo Hajimemashita.,9.0
282,Nghịch Thiên Tà Thần,8.7
283,Chiyu Mahou no Machigatta Tsukaikata,8.8
284,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,9.2
285,Định Hải Phù Sinh Lục,5.1
286,Akuyaku Reijou Level 99: Watashi wa Ura-Boss desu ga Maou dewa Arimasen,8.4
287,High Card,7.9
288,Kyuujitsu No Warumono-san,7.3
289,Oroka na Tenshi wa Akuma to Odoru,7.9
290,Himesama ,6.6
291,Dosanko Gal wa Namara Menkoi,8.3
292,"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita 2nd",7.9
293,"Loop 7-kaime no Akuyaku Reijou wa, Moto Tekikoku de Jiyuu Kimama na Hanayome Seikatsu wo Mankitsu suru",8.7
294,"Saikyou Tank no Meikyuu Kouryaku: Tairyoku 9999 no Rare Skill-mochi Tank, Yuusha Party wo Tsuihou sareru",7.4
295,Ao no Exorcist: Shimane Illuminati-hen,7.8
296,Kusuriya no Hitorigoto,9.1
297,Undead Unluck,9.2
298,Pon no Michi,6.4
299,Kekkon Yubiwa Monogatari,7.1
300,Megumi no Daigo: Kyuukoku no Orange,5.4
301,Yubisaki to Renren,8.0
302,Sousou no Frieren,9.4
303,Nozomanu Fushi no Boukensha,9.3
304,Sasaki và P-chan,8.7
305,30-sai made Doutei dato Mahoutsukai ni Nareru Rashii,6.3
306,Ishura,7.6
307,"Sokushi Cheat ga Saikyou sugite, Isekai no Yatsura ga Marude Aite ni Naranai n desu ga",7.7
308,Mato Seihei no Slave,8.7
309,Atarashii Joushi wa Do Tennen,7.8
310,The First Slam Dunk,8.6
311,Isekai de Mofumofu Nadenade suru Tame ni Ganbattemasu,7.9
312,Meiji Gekken: 1874,4.6
313,Trò Chơi Sống Còn,6.8
314,Urusei Yatsura (2022) 2nd Season,5.1
315,Cuồng Vương (OVA Tây Hành Kỷ),8.4
316,Em Đến Muộn Trong Cuộc Đời Chị,3.6
317,Thập Phương Võ Thánh,7.3
318,Bách Yêu Phổ Phần 3,7.5
319,Bất Tử Bất Diệt: Thiếu Niên Xuất Sơn,7.2
320,Nhật Ký Thường Ngày Của Tiên Vương Phần 4,8.6
321,Buta no Liver wa Kanetsu Shiro,6.2
322,Đại Vương Tha Mạng Phần 2,9.4
323,Võ Ánh Tam Thiên Đạo,8.6
324,Pocket Monsters 2019,7.4
325,Urusei Yatsura (2022),6.4
326,Monsters: Ippyaku Sanjou Hiryuu Jigoku,6.7
327,Vương Giả Vinh Diệu: Vinh Diệu chi Chương,8.7
328,Thiên Quan Tứ Phúc (Phần 2),7.4
329,Maboroshi,7.7
330,Thần Tàng,6.1
331,Ác Ma Pháp Tắc,9.1
332,Boku no Hero Academia: UA Heroes Battle,6.7
333,Boku no Kokoro no Yabai Yatsu,8.9
334,Luyện Khí Luyện Đến 3000 Năm,5.3
335,Tam Thập Lục Kỵ,7.0
336,Kawagoe Boys Sing,4.2
337,16bit Sensation Another Layer,6.8
338,Migi to Dali,8.0
339,Ngạo Thế Cửu Trùng Thiên,7.6
340,Dragon Ball Heroes,8.2
341,Họa Giang Hồ Chi Thiên Cang,9.8
342,Hikikomari Kyuuketsuki no Monmon,8.5
343,Uma Musume: Pretty Derby Season 3,5.3
344,Jujutsu Kaisen 2nd Season,9.3
345,Pokémon Concierge,5.8
346,Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,9.1
347,Tokyo Revengers: Tenjiku-hen,4.3
348,Dead Mount Death Play,8.7
349,Ron Kamonohashi: Thám Tử Loạn Trí,7.1
350,Hoshikuzu Telepath,6.9
351,Dark Gathering,9.0
352,Kanojo mo Kanojo Season 2,7.0
353,Kimi No Koto Ga Dai Dai Dai Dai Daisuki Na 100-ri No Kanojo,7.9
354,"Keikenzumi na Kimi to, Keiken Zero na Ore ga, Otsukiai suru Hanashi.",6.8
355,Potion-danomi de Ikinobimasu!,6.6
356,Kikansha no Mahou wa Tokubetsu desu,8.3
357,Bokura no Ameiro Protocol,6.3
358,Spy x Family Season 2,9.2
359,Saihate no Paladin: Tetsusabi no Yama no Ou,8.2
360,Tearmoon Empire Story,7.7
361,Goblin Slayer II,8.7
362,Hametsu No Okoku,7.1
363,Tate no Yuusha no Nariagari Season 3,8.9
364,Under Ninja,6.4
365,Bikkurimen,4.2
366,Yuzuki-san Chi no Yonkyoudai,8.2
367,Mahoutsukai no Yome 2,8.6
368,Ojou to Banken-kun,7.1
369,Boukensha ni Naritai to Miyako ni Deteitta Musume ga S-Rank ni Natteta,8.4
370,Dr. Stone: New World,9.5
371,Kage no Jitsuryokusha ni Naritakute! 2nd Season,9.6
372,"Konyaku Haki sareta Reijo wo Hirotta Ore ga, Ikenai Koto wo Oshiekomu",8.4
373,Bullbuster,4.8
374,Overtake!,5.4
375,Helck,8.3
376,Seijo no Maryoku wa Bannou desu 2nd Season,7.5
377,Dekoboko Majo No Oyako Jijou,7.5
378,Seiken Gakuin no Maken Tsukai,7.6
379,Toaru Ossan no VRMMO Katsudouki,7.3
380,Boushoku no Berserk,8.6
381,Rurouni Kenshin (2023),7.9
382,Vũ Động Càn Khôn,9.4
383,Watashi no Oshi wa Akuyaku Reijou,7.8
384,Ōoku: The Inner Chambers,NaN
385,Suisei no Gargantia Specials,8.3
386, Conan Movie 26: Tàu Ngầm Sắt Màu Đen,8.8
387,Onmyoji,4.7
388,My Daemon,9.2
389,Cẩm Y Thần Tượng,7.7
390,Arknights: Touin Kiro (Ss2),7.8
391,Temple,8.7
392,Tu La Võ Thần,9.2
393,Kizuna no Allele 2nd Season,NaN
394,Paradox Live THE ANIMATION,5.1
395,Kibou no Chikara: Otona Precure Power of Hope ~Precure Full Bloom~23,5.0
396,Make My Day,NaN
397,Akuma-kun,7.1
398,Blue Eye Samurai,4.6
399,KamiErab,3.9
400,Shingeki no Kyojin: The Final Season Part 3,9.7
401,Trấn Hồn Nhai Phần 3,8.4
402,Onimusha,4.0
403,Tensei Shitara Slime Datta Ken: Coleus no Yume,9.5
404,Pluto,7.5
405,Dãy Số Đầu Tiên,9.2
406,Gundam Build Metaverse,6.0
407,Nanatsu no Maken ga Shihai suru,7.6
408,Good Night World,6.6
409,Shika no Ou: Yuna to Yakusoku no Tabi,5.9
410,Ám Hà Truyện,8.8
411,Ao no Orchestra,6.9
412,Yami Shibai 11,4.1
413,Đoạ Huyền Sư,7.7
414,Chân Dương Võ Thần,6.4
415,"Kanojo, Okarishimasu 3rd Season",5.9
416,Shiro Seijo to Kuro Bokushi,9.1
417,"Jitsu wa Ore, Saikyou deshita?",8.1
418,Uchi no Kaisha no Chiisai Senpai no Hanashi,8.8
419,Niehime to Kemono no Ou,8.2
420,Phong Hỏa Chiến Kỷ,5.2
421,Edens Zero 2nd Season,7.1
422,Hataraku Maou-sama! 2nd Season,8.1
423,AI no Idenshi,7.3
424,Dekiru Neko wa Kyou mo Yuuutsu,9.3
425,Synduality: Noir,9.3
426,Tiểu Quán Quái Thú,NaN
427,Spy Kyoushitsu 2nd Season,8.0
428,Bách Yêu Phổ Phần 2,8.7
429,Bách Yêu Phổ,9.0
430,Ayakashi Triangle,8.0
431,Undead Girl Murder Farce,9.2
432,Horimiya: Piece,9.2
433,Suki na Ko ga Megane wo Wasureta,9.1
434,Có Linh Thú,NaN
435,Thiên Quan Tứ Phúc,7.2
436,Bách Luyện Phi Thăng Lục,6.0
437,Shinigami Bocchan to Kuro Maid 2nd Season,9.0
438,Eiyuu Kyoushitsu,7.9
439,Masamune-kun no Revenge 2nd Season,9.2
440,Watashi no Shiawase na Kekkon,9.2
441,Level 1 dakedo Unique Skill de Saikyou desu,8.6
442,Sát Thủ 567,9.3
443,Dũng Sĩ Sống Ảo,6.1
444,Vị Thần Dối Trá,5.0
445,Sugar Apple Fairy Tale,7.4
446,Người Đại Diện Thời Gian 2,8.3
447,Rồng Ăn Cỏ Bị Mang Tiếng Ác,6.9
448,"Seija Musou ~Sarariiman, Isekai de Ikinokoru Tame ni Ayumu Michi~",7.8
449,Higeki no Genkyou tonaru Saikyou Gedou Rasubosu Joou wa Tami no Tame ni Tsukushimasu,8.6
450,Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou,6.3
451,Bungou Stray Dogs 5th Season,9.1
452,Thuốc giải,7.6
453,Nhờ Bạn Đó! Hệ Thống Chiến Thần,9.1
454,Yumemiru Danshi wa Genjitsushugisha,8.5
455,Mononogatari 2nd Season,8.4
456,Lv1 Maou to One Room Yuusha,8.6
457,Genjitsu no Yohane: Sunshine in the Mirror,6.2
458,Liar Liar,8.4
459,Ayaka: A Story of Bonds and Wounds,4.8
460,Atelier Ryza: Ever Darkness & the Secret Hideout,8.0
